tmID    coachID  prev_coach_won  prev_coach_lost  prev_coach_post_wins  prev_coach_post_losses  prev_team_won  prev_team_lost  prev_team_o_pts  prev_team_d_pts  prev_team_playoff  prev_coach_win_pct  prev_coach_made_playoffs  coach_tenure  roster_talent_past_score
 SEA aglerbr99w            22.0             12.0                   1.0                     2.0             22              12             2493             2406                  1            0.647059                       1.0             2                    1902.0
 SAC bouceje01w            18.0             16.0                   1.0                     2.0             18              16             2545             2571                  1            0.529412                       1.0             3                    2022.0
 LAS coopemi01w            20.0             14.0                   3.0                     3.0             20              14             2598             2523                  1            0.588235                       1.0             3                    2223.0
 NYL coylepa99w            19.0             15.0                   3.0                     3.0             19              15             2573             2538                  1            0.558824                       1.0             6                    2364.0
 IND dunnli99wc            17.0             17.0                   1.0                     2.0             17              17             2473             2457                  1            0.500000                       1.0             2                    1993.0
 PHO gaineco01w            16.0             18.0                   0.0                     0.0             16              18             3010             3009                  0            0.470588                       0.0             2                    2310.0
 MIN gilloje01w             NaN              NaN                   NaN                     NaN             16              18             2767             2721                  0                 NaN                       NaN             1                    1712.0
 SAS hugheda99w            24.0             10.0                   4.0                     5.0             24              10             2546             2418                  1            0.705882                       1.0             5                    2448.0
 CHI  keyst99wc            12.0             22.0                   0.0                     0.0             12              22             2472             2510                  0            0.352941                       0.0             2                    2127.0
 DET laimbbi01w            22.0             12.0                   7.0                     2.0             22              12             2672             2522                  1            0.647059                       1.0             8                    2473.0
 ATL meadoma99w             4.0             30.0                   0.0                     0.0              4              30             2534             2879                  0            0.117647                       0.0             2                    1045.0
 WAS plankju99w             NaN              NaN                   NaN                     NaN             10              24             2368             2601                  0                 NaN                       NaN             1                    1492.0
 CON thibami99w            21.0             13.0                   1.0                     2.0             21              13             2690             2541                  1            0.617647                       1.0             7                    2434.0
